1,2 Pac,Baby Don't Cry (Keep...,0.001
2,2Gether,The Hardest Part Of ...,0.001
3,3 Doors Down,Kryptonite,0.003
4,3 Doors Down,Loser,0.042
5,504 Boyz,Wobble Wobble,0.003
6,98^0,Give Me Just One Nig…,0.08
7,A*Teens,Dancing Queen,0.001
8,Aaliyah,I Don't Wanna,0.007
9,Aaliyah,Try Again,0.001
10,"Adams, Yolanda",Open My Heart,0.001
11,"Adkins, Trace",More,0.2
12,"Aguilera, Christina",Come On Over Baby (A...,0.09
13,"Aguilera, Christina",I Turn To You,0.001
14,"Aguilera, Christina",What A Girl Wants,0.001
15,Alice Deejay,Better Off Alone,0.08
16,"Allan, Gary",Smoke Rings In The D...,0.2
17,Amber,Sexual,0.003
18,Anastacia,I'm Outta Love,0.001
19,"Anthony, Marc",My Baby You,0.09
20,"Anthony, Marc",You Sang To Me,0.001
21,Avant,My First Love,0.006
22,Avant,Separated,0.003
23,BBMak,Back Here,0.08
24,"Backstreet Boys, The",Shape Of My Heart,0.001
25,"Backstreet Boys, The",Show Me The Meaning ...,0.042
26,"Backstreet Boys, The",The One,0.09
27,"Badu, Erkyah",Bag Lady,0.001
28,Baha Men,Who Let The Dogs Out,0.001
29,Barenaked Ladies,Pinch Me,0.001
30,Beenie Man,Girls Dem Sugar,0.001
31,Before Dark,Monica,0.001
32,"Bega, Lou",Tricky Tricky,0.003
33,Big Punisher,It's So Hard,0.08
34,Black Rob,Whoa!,0.001
35,"Black, Clint",Been There,0.006
36,Blaque,Bring It All To Me,0.2
37,"Blige, Mary J.",Deep Inside,0.087
38,"Blige, Mary J.",Give Me You,0.042
39,Blink-182,All The Small Things,0.094
40,Bloodhound Gang,The Bad Touch,0.006
41,Bon Jovi,It's My Life,0.09
42,"Braxton, Toni",He Wasn't Man Enough,0.007
43,"Braxton, Toni",Just Be A Man About ...,0.087
44,"Braxton, Toni",Spanish Guitar,0.065
45,"Brock, Chad",A Country Boy Can Su...,0.003
46,"Brock, Chad",Yes!,0.05
47,Brooks & Dunn,You'll Always Be Lov...,0.003
48,"Brooks, Garth",Do What You Gotta Do,0.2
49,"Byrd, Tracy",Put Your Hand In Min...,0.042
50,"Cagle, Chris",My Love Goes On And ...,0.08
51,Cam'ron,What Means The World...,0.03
52,"Carey, Mariah",Crybaby,0.003
53,"Carey, Mariah",Thank God I Found Yo...,0.094
54,"Carter, Aaron",Aaron's Party (Come ...,0.01
55,"Carter, Torrey",Take That,0.087
56,Changing Faces,That Other Woman,0.08
57,"Chesney, Kenny",I Lost It,0.006
58,"Chesney, Kenny",What I Need To Do,0.08
59,Clark Family Experience,Meanwhile Back At Th...,0.09
60,"Clark, Terri",A Little Gasoline,0.094
61,Common,The Light,0.042
62,Counting Crows,Hanginaround,0.007
63,Creed,Higher,0.006
64,Creed,With Arms Wide Open,0.087
65,"Cyrus, Billy Ray",You Won't Be Lonely ...,0.001
66,D'Angelo,Left & Right,0.001
67,D'Angelo,Untitled (How Does I...,0.003
68,DMX,Party Up (Up In Here...,0.042
69,DMX,What You Want,0.003
70,DMX,What's My Name,0.08
71,Da Brat,That's What I'm Look...,0.001
72,Da Brat,What'Chu Like,0.007
73,"Davidson, Clay",Unconditional,0.001
74,De La Soul,All Good?,0.001
75,Destiny's Child,Independent Women Pa...,0.2
76,Destiny's Child,Jumpin' Jumpin',0.09
77,Destiny's Child,Say My Name,0.001
78,"Diffie, Joe",It's Always Somethin...,0.001
79,"Diffie, Joe",The Quittin' Kind,0.08
80,"Dion, Celine",That's The Way It Is,0.2
81,"Dixie Chicks, The",Cold Day In July,0.003
82,"Dixie Chicks, The",Cowboy Take Me Away,0.001
83,"Dixie Chicks, The",Goodbye Earl,0.09
84,"Dixie Chicks, The",Without You,0.001
85,Dr. Dre,Forgot About Dre,0.006
86,Dr. Dre,The Next Episode,0.003
87,Drama,"Left, Right, Left",0.08
88,Dream,He Loves U Not,0.001
89,"Eastsidaz, The",G'D Up,0.042
90,"Eastsidaz, The",Got Beef,0.09
91,Eiffel 65,Blue,0.001
92,"Elliott, Missy ""Misdemeanor""",Hot Boyz,0.001
93,Eminem,Stan,0.001
94,Eminem,The Real Slim Shady,0.001
95,Eminem,The Way I Am,0.001
96,En Vogue,Riddle,0.003
97,"Estefan, Gloria",No Me Dejes De Quere...,0.08
98,"Evans, Sara",Born To Fly,0.001
99,Eve,Got It All,0.006
100,Eve,Love Is Blind,0.2
101,Everclear,Wonderful,0.087
102,"Fabian, Lara",I Will Love Again,0.042
103,Fatboy Slim,The Rockafeller Skan...,0.094
104,Filter,Take A Picture,0.006
105,Foo Fighters,Learn To Fly,0.09
106,Fragma,Toca's Miracle,0.007
107,Funkmaster Flex,Do You,0.087
108,Ghostface Killah,Cherchez LaGhost,0.065
109,"Gill, Vince",Feels Like Love,0.003
110,"Gilman, Billy",One Voice,0.05
111,Ginuwine,None Of Ur Friends B...,0.003
112,Ginuwine,The Best Man I Can B...,0.2
113,Goo Goo Dolls,Broadway,0.042
114,"Gray, Macy",I Try,0.08
115,"Griggs, Andy",She's More,0.03
116,Guy,Dancin',0.003
117,Hanson,This Time Around,0.094
118,"Hart, Beth",L.A. Song,0.01
119,"Heatherly, Eric",Flowers On The Wall,0.087
120,"Henley, Don",Taking You Home,0.08
121,"Herndon, Ty",No Mercy,0.006
122,"Hill, Faith",Breathe,0.08
123,"Hill, Faith",Let's Make Love,0.09
124,Hoku,Another Dumb Blonde,0.094
125,"Hollister, Dave",Can't Stay,0.042
126,Hot Boys,I Need A Hot Girl,0.007
127,"Houston, Whitney",Could I Have This Ki...,0.006
128,"Houston, Whitney",I Learned From The B...,0.087
129,"Houston, Whitney",My Love Is Your Love,0.001
130,"Houston, Whitney","Same Script, Differe...",0.001
131,IMx,Stay The Night,0.003
132,Ice Cube,You Can Do It,0.042
133,Ideal,Whatever,0.003
134,"Iglesias, Enrique",Be With You,0.08
135,"Iglesias, Enrique",Rhythm Divine,0.001
136,J-Shin,One Night Stand,0.007
137,Ja Rule,Between Me And You,0.001
138,"Jackson, Alan",It Must Be Love,0.001
139,"Jackson, Alan",Pop A Top,0.2
140,"Jackson, Alan",www.memory,0.09
141,Jagged Edge,He Can't Love U,0.001
142,Jagged Edge,Let's Get Married,0.001
143,Janet,Doesn't Really Matte...,0.08
144,Jay-Z,Anything,0.2
145,Jay-Z,Big Pimpin',0.003
146,Jay-Z,Do It Again (Put Ya ...,0.001
147,Jay-Z,Hey Papi,0.09
148,Jay-Z,I Just Wanna Love U ...,0.001
149,"Jean, Wyclef",911,0.006
150,Joe,I Wanna Know,0.003
151,Joe,Treat Her Like A Lad...,0.08
152,"John, Elton",Someday Out Of The B...,0.001
153,"Jones, Donell",Where I Wanna Be,0.042
154,"Jordan, Montell",Get It On.. Tonite,0.09
155,Juvenile,U Understand,0.001
156,Kandi,Don't Think I'm Not,0.001
157,"Keith, Toby",Country Comes To Tow...,0.001
158,"Keith, Toby",How Do You Like Me N...,0.001
159,Kelis,Caught Out There,0.001
160,Kenny G,Auld Lang Syne (The ...,0.003
161,Kid Rock,Only God Knows Why,0.08
162,"Kravitz, Lenny",I Belong To You,0.001
163,Kumbia Kings,U Don't Love Me,0.006
164,LFO,I Don't Wanna Kiss Y...,0.2
165,LFO,West Side Story,0.087
166,LL Cool J,Imagine That,0.042
167,"Larrieux, Amel",Get Up,0.094
168,"Lawrence, Tracy",Lessons Learned,0.006
169,"Levert, Gerald",Baby U Are,0.09
170,"Levert, Gerald",Mr. Too Damn Good,0.007
171,Lil Bow Wow,Bounce With Me,0.087
172,Lil Wayne,Tha Block Is Hot,0.065
173,Lil' Kim,How Many Licks?,0.003
174,Lil' Kim,No Matter What They ...,0.05
175,Lil' Mo,Ta Da,0.003
176,Lil' Zane,Callin' Me,0.2
177,Limp Bizkit,N 2 Gether Now,0.042
178,Limp Bizkit,Re-Arranged,0.08
179,Limp Bizkit,Rollin',0.03
180,Lonestar,Amazed,0.003
181,Lonestar,Smile,0.094
182,Lonestar,What About Now,0.01
183,"Lopez, Jennifer",Feelin' Good,0.087
184,"Loveless, Patty",That's The Kind Of M...,0.08
185,Lox,"Ryde or Die, Chick",0.006
186,Lucy Pearl,Dance Tonight,0.08
187,Ludacris,What's Your Fantasy,0.09
188,M2M,Don't Say You Love M...,0.094
189,M2M,Mirror Mirror,0.042
190,Madison Avenue,Don't Call Me Baby,0.007
191,Madonna,American Pie,0.006
192,Madonna,Music,0.087
193,"Martin, Ricky",Private Emotion,0.001
194,"Martin, Ricky",Shake Your Bon-Bon,0.001
195,"Martin, Ricky",She Bangs,0.003
196,Mary Mary,Shackles (Praise You...,0.042
197,Master P,Souljas,0.003
198,"McBride, Martina",Love's The Only Hous...,0.08
199,"McBride, Martina",There You Are,0.001
200,"McEntire, Reba",I'll Be,0.007
201,"McEntire, Reba",What Do You Say,0.001
202,"McGraw, Tim",My Best Friend,0.001
203,"McGraw, Tim",My Next Thirty Years,0.2
204,"McGraw, Tim",Some Things Never Ch...,0.09
205,"McKnight, Brian",Stay Or Let It Go,0.001
206,"Messina, Jo Dee",Because You Love Me,0.001
207,"Messina, Jo Dee",That's The Way,0.08
208,Metallica,I Disappear,0.2
209,Metallica,No Leaf Clover (Live...,0.003
210,Montgomery Gentry,Daddy Won't Sell The...,0.001
211,"Montgomery, John Michael",The Little Girl,0.09
212,"Moore, Chante",Straight Up,0.001
213,"Moore, Mandy",I Wanna Be With You,0.006
214,"Mumba, Samantha",Gotta Tell You,0.003
215,Musiq,Just Friends,0.08
216,Mya,Case Of The Ex (What...,0.001
217,Mya,The Best Of Me,0.042
218,Mystikal,Shake Ya Ass,0.09
219,N'Sync,Bye Bye Bye,0.001
220,N'Sync,It's Gonna Be Me,0.001
221,N'Sync,This I Promise You,0.001
222,Nas,You Owe Me,0.001
223,Nelly,(Hot S**t) Country G...,0.001
224,Next,Wifey,0.003
225,Nine Days,Absolutely (Story Of...,0.08
226,Nine Days,If I Am,0.001
227,No Doubt,Simple Kind Of Life,0.006
228,Nu Flavor,3 Little Words,0.2
229,"Offspring, The",Original Prankster,0.087
230,"Paisley, Brad",Me Neither,0.042
231,"Paisley, Brad",We Danced,0.094
232,Papa Roach,Last Resort,0.006
233,Pearl Jam,Nothing As It Seems,0.09
234,Pink,Most Girls,0.007
235,Pink,There U Go,0.087
236,"Price, Kelly",As We Lay,0.065
237,"Price, Kelly",Love Sets You Free,0.003
238,"Price, Kelly",You Should've Told M...,0.05
239,Profyle,Liar,0.003
240,Puff Daddy,Best Friend,0.2
241,Q-Tip,Breathe And Stop,0.042
242,R.E.M.,The Great Beyond,0.08
243,Rascal Flatts,Prayin' For Daylight,0.03
244,"Raye, Collin",Couldn't Last A Mome...,0.003
245,Red Hot Chili Peppers,Californication,0.094
246,Red Hot Chili Peppers,Otherside,0.01
247,"Rimes, LeAnn",Big Deal,0.087
248,"Rimes, LeAnn",Can't Fight The Moon...,0.08
249,"Rimes, LeAnn",I Need You,0.006
250,"Rogers, Kenny",Buy Me A Rose,0.08
251,Ruff Endz,No More,0.09
252,Sammie,I Like It,0.094
253,Santana,"Maria, Maria",0.042
254,Savage Garden,Crash And Burn,0.007
255,Savage Garden,I Knew I Loved You,0.006
256,SheDaisy,Deck The Halls,0.087
257,SheDaisy,I Will.. But,0.001
258,SheDaisy,This Woman Needs,0.001
259,"Sheist, Shade",Where I Wanna Be,0.003
260,Shyne,Bad Boyz,0.042
261,"Simpson, Jessica",I Think I'm In Love ...,0.003
262,"Simpson, Jessica",Where You Are,0.08
263,Sisqo,Got To Get It,0.001
264,Sisqo,Incomplete,0.007
265,Sisqo,Thong Song,0.001
266,Sister Hazel,Change Your Mind,0.001
267,Smash Mouth,Then The Morning Com...,0.2
268,"Smith, Will",Freakin' It,0.09
269,Son By Four,A Puro Dolor (Purest...,0.001
270,Sonique,It Feels So Good,0.001
271,SoulDecision,Faded,0.08
272,"Spears, Britney",From The Bottom Of M...,0.2
273,"Spears, Britney",Lucky,0.003
274,"Spears, Britney",Oops!.. I Did It Aga...,0.001
275,"Spencer, Tracie",Still In My Heart,0.09
276,Splender,I Think God Can Expl...,0.001
277,Sting,Desert Rose,0.006
278,Stone Temple Pilots,Sour Girl,0.003
279,"Stone, Angie",No More Rain (In Thi...,0.08
280,"Strait, George",Go On,0.001
281,"Strait, George",The Best Day,0.042
282,Sugar Ray,Falls Apart,0.09
283,TLC,Dear Lie,0.001
284,Tamar,If You Don't Wanna L...,0.001
285,Tamia,Can't Go For That,0.001
286,Third Eye Blind,Deep Inside Of You,0.001
287,Third Eye Blind,Never Let You Go,0.001
288,"Thomas, Carl",Emotional,0.003
289,"Thomas, Carl",I Wish,0.08
290,"Thomas, Carl",Summer Rain,0.001
291,"Tippin, Aaron",Kiss This,0.006
292,Train,Meet Virginia,0.2
293,Trick Daddy,Shut Up,0.087
294,Trina,Pull Over,0.042
295,"Tritt, Travis",Best Of Intentions,0.094
296,Tuesday,I Know,0.006
297,"Urban, Keith",Your Everything,0.09
298,Usher,Pop Ya Collar,0.007
299,"Vassar, Phil",Carlene,0.087
300,"Vassar, Phil",Just Another Day In ...,0.065
301,Vertical Horizon,Everything You Want,0.003
302,Vertical Horizon,You're A God,0.05
303,Vitamin C,Graduation (Friends ...,0.003
304,Vitamin C,The Itch,0.2
305,"Walker, Clay","Live, Laugh, Love",0.042
306,"Walker, Clay",The Chain Of Love,0.08
307,"Wallflowers, The",Sleepwalker,0.03
308,Westlife,Swear It Again,0.003
309,"Williams, Robbie",Angels,0.094
310,"Wills, Mark",Back At One,0.01
311,"Worley, Darryl",When You Need My Lov...,0.087
312,"Wright, Chely",It Was,0.08
313,Yankee Grey,Another Nine Minutes,0.006
314,"Yearwood, Trisha",Real Live Woman,0.08
315,Ying Yang Twins,Whistle While You Tw...,0.09
316,Zombie Nation,Kernkraft 400,0.094
317,matchbox twenty,Bent,0.042